Date,Demand
5/28/1982,111
5/29/1982,117
5/30/1982,71
5/31/1982,157
6/1/1982,118
6/2/1982,171
6/3/1982,122
6/4/1982,111
6/5/1982,73
6/6/1982,172
6/7/1982,127
6/8/1982,145
6/9/1982,150
6/10/1982,136
6/11/1982,155
6/12/1982,147
6/13/1982,162
6/14/1982,122
6/15/1982,101
6/16/1982,142
6/17/1982,114
6/18/1982,136
6/19/1982,144
6/20/1982,160
6/21/1982,157
6/22/1982,151
6/23/1982,179
6/24/1982,153
6/25/1982,118
6/26/1982,160
6/27/1982,181
6/28/1982,176
6/29/1982,166
6/30/1982,155
7/1/1982,121
7/2/1982,137
7/3/1982,127
7/4/1982,106
7/5/1982,81
7/6/1982,101
7/7/1982,140
7/8/1982,146
7/9/1982,149
7/10/1982,139
7/11/1982,175
7/12/1982,142
7/13/1982,168
7/14/1982,123
7/15/1982,149
7/16/1982,123
7/17/1982,134
7/18/1982,143
7/19/1982,143
7/20/1982,92
7/21/1982,139
7/22/1982,113
7/23/1982,150
7/24/1982,91
7/25/1982,166
7/26/1982,130
7/27/1982,160
7/28/1982,127
7/29/1982,103
7/30/1982,165
7/31/1982,139
8/1/1982,164
8/2/1982,133
8/3/1982,130
8/4/1982,140
8/5/1982,153
8/6/1982,153
8/7/1982,153
8/8/1982,92
8/9/1982,130
8/10/1982,126
8/11/1982,96
8/12/1982,154
8/13/1982,193
8/14/1982,161
8/15/1982,126
8/16/1982,116
8/17/1982,83
8/18/1982,151
8/19/1982,96
8/20/1982,152
8/21/1982,124
8/22/1982,140
8/23/1982,116
8/24/1982,87
8/25/1982,141
8/26/1982,154
8/27/1982,133
8/28/1982,179
8/29/1982,108
8/30/1982,134
8/31/1982,173
9/1/1982,138
9/2/1982,84
9/3/1982,116
9/4/1982,119
9/5/1982,117
9/6/1982,164
9/7/1982,191
9/8/1982,87
9/9/1982,138
9/10/1982,150
9/11/1982,149
9/12/1982,137
9/13/1982,140
9/14/1982,118
9/15/1982,125
9/16/1982,130
9/17/1982,155
9/18/1982,155
9/19/1982,123
9/20/1982,132
9/21/1982,156
9/22/1982,156
9/23/1982,181
9/24/1982,109
9/25/1982,97
9/26/1982,130
9/27/1982,120
9/28/1982,145
9/29/1982,117
9/30/1982,113
10/1/1982,138
10/2/1982,128
10/3/1982,117
10/4/1982,125
10/5/1982,143
10/6/1982,154
10/7/1982,168
10/8/1982,112
10/9/1982,113
10/10/1982,201
10/11/1982,135
10/12/1982,99
10/13/1982,115
10/14/1982,125
10/15/1982,78
10/16/1982,182
10/17/1982,142
10/18/1982,157
10/19/1982,164
10/20/1982,130
10/21/1982,78
10/22/1982,165
10/23/1982,166
10/24/1982,124
10/25/1982,122
10/26/1982,105
10/27/1982,136
10/28/1982,101
10/29/1982,146
10/30/1982,105
10/31/1982,165
11/1/1982,140
11/2/1982,83
11/3/1982,124
11/4/1982,168
11/5/1982,79
11/6/1982,170
11/7/1982,167
11/8/1982,141
11/9/1982,157
11/10/1982,131
11/11/1982,155
11/12/1982,143
11/13/1982,146
11/14/1982,124
11/15/1982,154
11/16/1982,146
11/17/1982,180
11/18/1982,159
11/19/1982,122
11/20/1982,146
11/21/1982,87
11/22/1982,127
11/23/1982,121
11/24/1982,172
11/25/1982,141
11/26/1982,151
11/27/1982,127
11/28/1982,127
11/29/1982,93
11/30/1982,137
12/1/1982,80
12/2/1982,164
12/3/1982,142
12/4/1982,151
12/5/1982,184
12/6/1982,168
12/7/1982,174
12/8/1982,105
12/9/1982,193
12/10/1982,145
12/11/1982,104
12/12/1982,162
12/13/1982,127
12/14/1982,112
12/15/1982,141
12/16/1982,145
12/17/1982,155
12/18/1982,170
12/19/1982,155
12/20/1982,153
12/21/1982,150
12/22/1982,122
12/23/1982,168
12/24/1982,123
12/25/1982,139
12/26/1982,126
12/27/1982,132
12/28/1982,131
12/29/1982,109
12/30/1982,141
12/31/1982,209
1/1/1983,148
1/2/1983,121
1/3/1983,183
1/4/1983,116
1/5/1983,190
1/6/1983,154
1/7/1983,109
1/8/1983,147
1/9/1983,181
1/10/1983,104
1/11/1983,113
1/12/1983,141
1/13/1983,94
1/14/1983,117
1/15/1983,148
1/16/1983,191
1/17/1983,165
1/18/1983,117
1/19/1983,129
1/20/1983,98
1/21/1983,147
1/22/1983,148
1/23/1983,117
1/24/1983,177
1/25/1983,131
1/26/1983,94
1/27/1983,152
1/28/1983,199
1/29/1983,141
1/30/1983,158
1/31/1983,85
2/1/1983,98
2/2/1983,119
2/3/1983,104
2/4/1983,195
2/5/1983,124
2/6/1983,141
2/7/1983,140
2/8/1983,149
2/9/1983,132
2/10/1983,138
2/11/1983,120
2/12/1983,132
2/13/1983,129
2/14/1983,164
2/15/1983,157
2/16/1983,128
2/17/1983,148
2/18/1983,143
2/19/1983,152
2/20/1983,137
2/21/1983,109
2/22/1983,134
2/23/1983,152
2/24/1983,151
2/25/1983,139
2/26/1983,110
2/27/1983,124
2/28/1983,108
3/1/1983,162
3/2/1983,142
3/3/1983,163
3/4/1983,109
3/5/1983,169
3/6/1983,220
3/7/1983,164
3/8/1983,154
3/9/1983,155
3/10/1983,152
3/11/1983,155
3/12/1983,135
3/13/1983,134
3/14/1983,105
3/15/1983,153
3/16/1983,161
3/17/1983,111
3/18/1983,112
3/19/1983,119
3/20/1983,172
3/21/1983,172
3/22/1983,120
3/23/1983,86
3/24/1983,140
3/25/1983,75
3/26/1983,148
3/27/1983,146
3/28/1983,155
3/29/1983,109
3/30/1983,125
3/31/1983,146
4/1/1983,178
4/2/1983,170
4/3/1983,127
4/4/1983,171
4/5/1983,106
4/6/1983,107
4/7/1983,188
4/8/1983,68
4/9/1983,128
4/10/1983,86
4/11/1983,202
4/12/1983,125
4/13/1983,140
4/14/1983,164
4/15/1983,91
4/16/1983,123
4/17/1983,106
4/18/1983,135
4/19/1983,144
4/20/1983,127
4/21/1983,179
4/22/1983,173
4/23/1983,169
4/24/1983,94
4/25/1983,163
4/26/1983,147
4/27/1983,152
4/28/1983,121
4/29/1983,153
4/30/1983,129
5/1/1983,174
5/2/1983,118
5/3/1983,105
5/4/1983,146
5/5/1983,118
5/6/1983,134
5/7/1983,143
5/8/1983,83
5/9/1983,153
5/10/1983,94
5/11/1983,172
5/12/1983,129
5/13/1983,175
5/14/1983,186
5/15/1983,149
5/16/1983,181
5/17/1983,205
5/18/1983,100
5/19/1983,165
5/20/1983,116
5/21/1983,161
5/22/1983,127
5/23/1983,121
5/24/1983,81
5/25/1983,166
5/26/1983,154
5/27/1983,123
5/28/1983,175
5/29/1983,121
5/30/1983,166
5/31/1983,156
6/1/1983,135
6/2/1983,129
6/3/1983,161
6/4/1983,141
6/5/1983,167
6/6/1983,124
6/7/1983,153
6/8/1983,98
6/9/1983,135
6/10/1983,186
6/11/1983,128
6/12/1983,119
6/13/1983,117
6/14/1983,160
6/15/1983,118
6/16/1983,152
6/17/1983,131
6/18/1983,131
6/19/1983,129
6/20/1983,116
6/21/1983,132
6/22/1983,154
6/23/1983,156
6/24/1983,106
6/25/1983,168
6/26/1983,210
6/27/1983,134
6/28/1983,165
6/29/1983,155
6/30/1983,122
7/1/1983,159
7/2/1983,157
7/3/1983,107
7/4/1983,145
7/5/1983,116
7/6/1983,144
7/7/1983,159
7/8/1983,134
7/9/1983,82
7/10/1983,128
7/11/1983,138
7/12/1983,109
7/13/1983,84
7/14/1983,108
7/15/1983,94
7/16/1983,161
7/17/1983,134
7/18/1983,127
7/19/1983,106
7/20/1983,141
7/21/1983,144
7/22/1983,165
7/23/1983,142
7/24/1983,85
7/25/1983,153
7/26/1983,126
7/27/1983,122
7/28/1983,131
7/29/1983,174
7/30/1983,114
7/31/1983,137
8/1/1983,129
8/2/1983,134
8/3/1983,79
8/4/1983,121
8/5/1983,96
8/6/1983,111
8/7/1983,160
8/8/1983,120
8/9/1983,172
8/10/1983,179
8/11/1983,168
8/12/1983,181
8/13/1983,144
8/14/1983,115
8/15/1983,159
8/16/1983,83
8/17/1983,138
8/18/1983,165
8/19/1983,167
8/20/1983,123
8/21/1983,145
8/22/1983,158
8/23/1983,142
8/24/1983,124
8/25/1983,161
8/26/1983,128
8/27/1983,128
8/28/1983,124
8/29/1983,109
8/30/1983,171
8/31/1983,167
9/1/1983,114
9/2/1983,92
9/3/1983,127
9/4/1983,139
9/5/1983,130
9/6/1983,133
9/7/1983,123
9/8/1983,153
9/9/1983,120
9/10/1983,158
9/11/1983,129
9/12/1983,142
9/13/1983,127
9/14/1983,149
9/15/1983,90
9/16/1983,145
9/17/1983,97
9/18/1983,182
9/19/1983,77
9/20/1983,196
9/21/1983,120
9/22/1983,93
9/23/1983,137
9/24/1983,164
9/25/1983,131
9/26/1983,164
9/27/1983,132
9/28/1983,125
9/29/1983,129
9/30/1983,125
10/1/1983,136
10/2/1983,141
10/3/1983,124
10/4/1983,136
10/5/1983,170
10/6/1983,148
10/7/1983,113
10/8/1983,116
10/9/1983,133
10/10/1983,163
10/11/1983,110
10/12/1983,169
10/13/1983,100
10/14/1983,173
10/15/1983,163
10/16/1983,143
10/17/1983,132
10/18/1983,147
10/19/1983,129
10/20/1983,190
10/21/1983,114
10/22/1983,115
10/23/1983,109
10/24/1983,160
10/25/1983,99
10/26/1983,124
10/27/1983,136
10/28/1983,153
10/29/1983,143
10/30/1983,128
10/31/1983,134
11/1/1983,158
11/2/1983,132
11/3/1983,150
11/4/1983,172
11/5/1983,113
11/6/1983,146
11/7/1983,141
11/8/1983,127
11/9/1983,88
11/10/1983,173
11/11/1983,138
11/12/1983,165
11/13/1983,112
11/14/1983,115
11/15/1983,132
11/16/1983,113
11/17/1983,158
11/18/1983,145
11/19/1983,71
11/20/1983,112
11/21/1983,90
11/22/1983,132
11/23/1983,94
11/24/1983,92
11/25/1983,134
11/26/1983,157
11/27/1983,151
11/28/1983,119
11/29/1983,159
11/30/1983,120
12/1/1983,166
12/2/1983,147
12/3/1983,201
12/4/1983,106
12/5/1983,165
12/6/1983,121
12/7/1983,131
12/8/1983,71
12/9/1983,144
12/10/1983,179
12/11/1983,147
12/12/1983,103
12/13/1983,175
12/14/1983,160
12/15/1983,71
12/16/1983,132
12/17/1983,97
12/18/1983,89
12/19/1983,140
12/20/1983,102
12/21/1983,127
12/22/1983,111
12/23/1983,172
12/24/1983,159
12/25/1983,173
12/26/1983,129
12/27/1983,137
12/28/1983,92
12/29/1983,162
12/30/1983,171
12/31/1983,141
1/1/1984,159
1/2/1984,136
1/3/1984,116
1/4/1984,151
1/5/1984,162
1/6/1984,153
1/7/1984,74
1/8/1984,118
1/9/1984,120
1/10/1984,113
1/11/1984,182
1/12/1984,125
1/13/1984,152
1/14/1984,147
1/15/1984,171
1/16/1984,149
1/17/1984,168
1/18/1984,149
1/19/1984,145
1/20/1984,154
1/21/1984,123
1/22/1984,86
1/23/1984,100
1/24/1984,93
1/25/1984,145
1/26/1984,137
1/27/1984,127
1/28/1984,144
1/29/1984,92
1/30/1984,141
1/31/1984,186
2/1/1984,154
2/2/1984,144
2/3/1984,163
2/4/1984,134
2/5/1984,157
2/6/1984,95
2/7/1984,143
2/8/1984,130
2/9/1984,158
2/10/1984,141
2/11/1984,128
2/12/1984,114
2/13/1984,139
2/14/1984,112
2/15/1984,138
2/16/1984,155
2/17/1984,179
2/18/1984,157
2/19/1984,202
2/20/1984,134
2/21/1984,135
2/22/1984,159
2/23/1984,116
2/24/1984,143
2/25/1984,148
2/26/1984,130
2/27/1984,157
2/28/1984,178
2/29/1984,161
3/1/1984,107
3/2/1984,154
3/3/1984,165
3/4/1984,97
3/5/1984,142
3/6/1984,101
3/7/1984,130
3/8/1984,127
3/9/1984,162
3/10/1984,133
3/11/1984,177
3/12/1984,99
3/13/1984,66
3/14/1984,142
3/15/1984,162
3/16/1984,135
3/17/1984,135
3/18/1984,110
3/19/1984,130
3/20/1984,104
3/21/1984,108
3/22/1984,139
3/23/1984,143
3/24/1984,146
3/25/1984,110
3/26/1984,135
3/27/1984,161
3/28/1984,162
3/29/1984,103
3/30/1984,131
3/31/1984,155
4/1/1984,93
4/2/1984,179
4/3/1984,149
4/4/1984,139
4/5/1984,180
4/6/1984,148
4/7/1984,89
4/8/1984,176
4/9/1984,187
4/10/1984,105
4/11/1984,149
4/12/1984,159
4/13/1984,88
4/14/1984,114
4/15/1984,132
4/16/1984,167
4/17/1984,146
4/18/1984,116
4/19/1984,141
4/20/1984,115
4/21/1984,115
4/22/1984,143
4/23/1984,137
4/24/1984,129
4/25/1984,165
4/26/1984,167
4/27/1984,139
4/28/1984,82
4/29/1984,144
4/30/1984,146
5/1/1984,138
5/2/1984,111
5/3/1984,94
5/4/1984,87
5/5/1984,158
5/6/1984,125
5/7/1984,58
5/8/1984,150
5/9/1984,179
5/10/1984,123
5/11/1984,116
5/12/1984,140
5/13/1984,166
5/14/1984,145
5/15/1984,113
5/16/1984,168
5/17/1984,151
5/18/1984,149
5/19/1984,195
5/20/1984,121
5/21/1984,127
5/22/1984,152
5/23/1984,146
5/24/1984,134
5/25/1984,154
5/26/1984,106
5/27/1984,124
5/28/1984,174
5/29/1984,129
5/30/1984,147
5/31/1984,103
6/1/1984,100
